brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen
Mey6,McHenry Brewing Company,3425 Pearl St.,McHenry,IL,NA,https://www.facebook.com/mchenrybrewingcompany/,NA,"-88.26445,42.346596",119821971,no,42.346596,-88.26445,no,no,no
Mhg3,Myths and Legends Brewing,1115 Zygmunt Cir.,Westmont,IL,NA,http://mythsandlegendsbeer.com/info,tap room,NA,NA,no,NA,NA,yes,no,no
Mk.7,Miskatonic Brewing Co.,1000 N. Frontage Rd.,Darien,IL,NA,http://www.miskatonicbrewing.com,tap room,"-87.969376,41.734222",112557835,no,41.734222,-87.969376,yes,no,no
Mky7,Mickey Finn's Brewery,412 N. Milwaukee Ave.,Libertyville,IL,NA,http://mickeyfinnsbrewery.com,kitchen & beer,"-87.95417,42.287003",119642436,no,42.287003,-87.95417,no,no,yes
Mly3,Maplewood Brewery & Distillery,2717 N. Maplewood Ave,Chicago,IL,Logan Square,http://www.mercenarycraft.com,tap room,"-87.69153,41.93118",618056487,yes,41.93118,-87.69153,yes,no,no
Mog6,Motor Row Brewing,2337 S. Michigan Ave.,Chicago,IL,South Loop,http://www.motorrowbrewing.com,tap room,"-87.623726,41.85007",605497989,yes,41.85007,-87.623726,yes,no,no
Mr.4,MyGrain Brewing Co.,50 E. Jefferson St.,Joliet,IL,NA,http://www.mygrainbrewing.com/,kitchen & beer,"-88.07964,41.525013",111541658,no,41.525013,-88.07964,no,no,yes
Mrg7,Metropolitan Brewing,3057 N. Rockwell St.,Chicago,IL,Avondale,http://metrobrewing.com,tap room,"-87.69287,41.937077",111760798,yes,41.937077,-87.69287,yes,no,no
Mu.8,Macushla Brewing Co.,1516 E. Lake Ave.,Glenview,IL,NA,https://www.facebook.com/macushlabeer/,tap room,NA,NA,no,NA,NA,yes,no,no
Mzg7,Marz Community Brewing,3315 S. Halsted St.,Chicago,IL,Bridgeport,http://marzbrewing.com,tap room,"-87.64617,41.83388",111828268,yes,41.83388,-87.64617,yes,no,no
N g8,New Oberpfalz Brewing,121 E. Main St.,Griffith,IN,NA,http://www.newoberpfalz.com,kitchen & beer,"-87.42738,41.52278",98429578,no,41.52278,-87.42738,no,no,yes
Ni.9,Nevin's Brewing Co.,12337 S. Rte. 59 #155,Plainfield,IL,NA,http://www.nevinsbrewing.com,kitchen & beer,"-88.20377,41.65859",615339302,no,41.65859,-88.20377,no,no,yes
Nng4,Noon Whistle Brewing,800 E. Roosevelt Rd.,Lombard,IL,NA,http://www.noonwhistlebrewing.com,tap room,NA,NA,no,NA,NA,yes,no,no
O .10,Old Irving Brewing Co.,4419 W. Montrose Ave,Chicago,IL,Old Irving Park,http://www.oldirvingbrewing.com/,kitchen & beer,"-87.7392,41.960815",111755390,yes,41.960815,-87.7392,no,no,yes
O .2,Oak Park Brewing Co.,155 S. Oak Park Ave.,Oak Park,IL,NA,http://oakparkbeer.com,kitchen & beer,"-87.79446,41.886402",605117293,no,41.886402,-87.79446,no,no,yes
O g1,Off Color Brewing,3925 W. Dickens Ave.,Chicago,IL,Hermosa,http://www.offcolorbrewing.com,"tour, Bottle Shop","-87.72537,41.919006",642123020,yes,41.919006,-87.72537,no,yes,no
O g5,Off Square Brewing,11000 Delaware Pkwy.,Crown Point,IN,NA,http://offsquarebrewing.com/,kitchen & beer,NA,NA,no,NA,NA,no,no,yes
O p9,Off Color Mousetrap,1460 N. Kingsbury St.,Chicago,IL,Lincoln Park,http://www.offcolorbrewing.com/taproom/,tap room,"-87.65349,41.91013",111767163,yes,41.91013,-87.65349,yes,no,no
O y5,One Trick Pony Brewery,17845-17851 Chappel Ave.,Lansing,IL,NA,http://www.onetrickponybrewery.com,tap room,"-87.57214,41.57127",634780158,no,41.57127,-87.57214,yes,no,no
Oe.8,Oswego Brewing Co.,61 Main St,Oswego,IL,NA,https://oswegobrewing.com/welcome,NA,"-88.35215,41.684093",54484222,no,41.684093,-88.35215,no,no,no
On.4,Open Outcry Brewing Co.,10934 S. Western Ave.,Chicago,IL,Morgan Park,http://www.openoutcrybrewing.com/,kitchen & beer,"-87.68125,41.694508",111822545,yes,41.694508,-87.68125,no,no,yes
OT.2,On Tour Brewing Co.,1725 W. Hubbard St.,Chicago,IL,West Town,http://ontourbrewingco.com/,tap room,"-87.67046,41.889824",111765066,yes,41.889824,-87.67046,yes,no,no
Oyg8,Only Child Brewing,1350 Tri State Pkwy,Gurnee,IL,NA,http://onlychildbrewing.com,tap room,NA,NA,no,NA,NA,yes,no,no
Pca10,Piece Brewery & Pizzeria,1927 W. North Ave.,Chicago,IL,Wicker Park,http://www.piecechicago.com,kitchen & beer,"-87.67611,41.910503",605068100,yes,41.910503,-87.67611,no,no,yes
Pe.8,Pipeworks Brewing Co.,3912 W McLean Ave.,Chicago,IL,Hermosa,http://pdubs.net,Bottle Shop,"-87.72604,41.9181",111758729,yes,41.9181,-87.72604,no,no,no
Pi.4,Prairie Krafts Brewing Co.,1310 Busch Pkwy.,Buffalo Grove,IL,NA,http://www.prairiekrafts.com/gallery.html,tap room,"-87.93167,42.171387",119649807,no,42.171387,-87.93167,yes,no,no
Pkg2,Peckish Pig,623 Howard St.,Evanston,IL,NA,http://thepeckishpig.com,kitchen & beer,"-87.67927,42.019444",616887312,no,42.019444,-87.67927,no,no,yes
Pl.4,Pollyanna Brewing Co.,431 Talcott Ave.,Lemont,IL,NA,http://www.pollyannabrewing.com,tap room,"-87.99842,41.67531",111806131,no,41.67531,-87.99842,yes,no,no
Ple4,Pollyanna Brewing Co. - Roselare,245 E Main St,Roselle,IL,NA,https://pollyannabrewing.com/pages/roselare,tap room,"-88.07544,41.982944",112519251,no,41.982944,-88.07544,yes,no,no
Pr.7,Penrose Brewing Co.,509 Stevens St.,Geneva,IL,NA,http://penrosebrewing.com/,tap room,"-88.30982,41.89245",119507794,no,41.89245,-88.30982,yes,no,no
Pr.9,Pokro Brewing Co.,311 North Broad Street,Griffith,IN,NA,https://www.facebook.com/PokroBrewingCompanyInc,kitchen & beer,"-87.42766,41.526714",98428896,no,41.526714,-87.42766,no,no,yes
Pss10,Present Tense Fine Ales,NA,Chicago,IL,South Loop,http://presenttensefineales.com/,NA,NA,NA,no,NA,NA,no,no,no
