Gnk10,"14035 S. La Grange Rd., Orland Park, IL,  ",Match,Exact,"14035 LA GRANGE RD, ORLAND PARK, IL, 60462","-87.85402,41.63614",638644893,L
Bey6,"6119 East Ave., Hodgkins, IL,  ",Match,Exact,"6119 EAST AVE, HODGKINS, IL, 60525","-87.85844,41.778942",605630300,L
Sr.7,"5000 N. River Rd, Schiller Park, IL,  ",Match,Exact,"5000 RIVER RD, SCHILLER PARK, IL, 60176","-87.86179,41.969795",641756807,L
Ieg8,"501 Willow Blvd., Willow Springs, IL,  ",Match,Exact,"501 WILLOW BLVD, WILLOW SPRINGS, IL, 60480","-87.87921,41.731945",111807510,R
Tbe7,"11220 W. Lincoln Hwy., Mokena, IL,  ",Match,Exact,"11220 W LINCOLN HWY, MOKENA, IL, 60448","-87.88956,41.50348",111549982,L
R y8,"700 N. Milwaukee Ave., Wheeling, IL,  ",Match,Exact,"700 N MILWAUKEE AVE, WHEELING, IL, 60090","-87.91456,42.152607",112363586,L
FSg5,"260 Howard Avenue, Des Plaines, IL,  ",Match,Exact,"260 HOWARD AVE, DES PLAINES, IL, 60018","-87.91719,42.015827",605628024,L
Pi.4,"1310 Busch Pkwy., Buffalo Grove, IL,  ",Match,Exact,"1310 BUSCH PKWY, BUFFALO GROVE, IL, 60089","-87.93167,42.171387",119649807,L
Eh.2,"171 N Addison Ave., Elmhurst, IL,  ",Match,Exact,"171 N ADDISON AVE, ELMHURST, IL, 60126","-87.94157,41.9028",112545040,R
Bc.1,"7560 S. Quincy St., Willowbrook, IL,  ",Match,Exact,"7560 QUINCY ST, WILLOWBROOK, IL, 60527","-87.94184,41.751392",112552443,R
Mky7,"412 N. Milwaukee Ave., Libertyville, IL,  ",Match,Exact,"412 N MILWAUKEE AVE, LIBERTYVILLE, IL, 60048","-87.95417,42.287003",119642436,L
Ao.5,"2101 Calistoga Dr., New Lenox, IL,  ",Match,Non_Exact,"2101 CALISTOGA DR, NEW LENOX, IL, 60451","-87.95716,41.482044",641298602,L
Meg7,"121 Garlisch Dr., Elk Grove Village, IL,  ",Match,Exact,"121 GARLISCH DR, ELK GROVE VLG, IL, 60007","-87.96762,42.029408",111717347,L
Me.7,"126 S. Villa Ave., Villa Park, IL,  ",Match,Exact,"126 VILLA AVE, VILLA PARK, IL, 60181","-87.96917,41.892006",112543290,L
Mk.7,"1000 N. Frontage Rd., Darien, IL,  ",Match,Exact,"1000 N FRONTAGE RD, DARIEN, IL, 60561","-87.969376,41.734222",112557835,R
Crg5,"1480 Industrial Dr. Unit C, Itasca, IL,  ",Match,Exact,"1480 INDUSTRIAL DR, ITASCA, IL, 60143","-87.99516,41.970863",222441158,L
Baw10,"610 E. Hawley St., Mundelein, IL,  ",Match,Exact,"610 E HAWLEY ST, MUNDELEIN, IL, 60060","-87.99546,42.270542",119636660,L
Bfg6,"360 Historical Ln., Long Grove, IL,  ",Match,Exact,"360 HISTORICAL LN, LONG GROVE, IL, 60047","-87.99785,42.177242",119705469,L
Pl.4,"431 Talcott Ave., Lemont, IL,  ",Match,Exact,"431 TALCOTT AVE, LEMONT, IL, 60439","-87.99842,41.67531",111806131,L
Th.5,"161 N. Archer Ave., Mundelein, IL,  ",Match,Exact,"161 N ARCHER AVE, MUNDELEIN, IL, 60060","-88.00128,42.266468",119638152,R
Eee6,"5200 Main St., Downers Grove, IL,  ",Match,Exact,"5200 MAIN ST, DOWNERS GROVE, IL, 60515","-88.01025,41.7931",112701103,R
Is.5,"400 East Orchard St., Itasca, IL,  ",Match,Exact,"400 E ORCHARD ST, ITASCA, IL, 60143","-88.01142,41.97194",112712043,R
Ae.6,"844 N. Ridge Ave., Lombard, IL,  ",Match,Exact,"844 N RIDGE AVE, LOMBARD, IL, 60148","-88.022255,41.905796",638205695,L
Ae.9,"2300 Wisconsin Ave., Downers Grove, IL,  ",Match,Exact,"2300 WISCONSIN AVE, DOWNERS GROVE, IL, 60515","-88.041275,41.789803",112533248,R
Gng10,"801 Plaza Dr., Schaumburg, IL,  ",Match,Exact,"801 PLAZA DR, SCHAUMBURG, IL, 60173","-88.042885,42.04357",111697901,R
Lhy2,"10 N. Lake St., Grayslake, IL,  ",Match,Exact,"10 N LAKE ST, GRAYSLAKE, IL, 60030","-88.04372,42.344482",119635995,R
Eee4,"110 N. Brockway St., Palatine, IL,  ",Match,Exact,"110 N BROCKWAY ST, PALATINE, IL, 60067","-88.046196,42.113216",111695759,L
Ple4,"245 E Main St, Roselle, IL,  ",Match,Exact,"245 MAIN ST, ROSELLE, IL, 60172","-88.07544,41.982944",112519251,R
Ee.9,"218 E. Cass St, Joliet, IL,  ",Match,Exact,"218 E CASS ST, JOLIET, IL, 60432","-88.07667,41.527912",111541648,R
Mag4,"515 Anderson Dr. #900, Romeoville, IL,  ",Match,Exact,"515 ANDERSON DR, ROMEOVILLE, IL, 60446","-88.07799,41.64518",641432567,R
Mr.4,"50 E. Jefferson St., Joliet, IL,  ",Match,Exact,"50 E JEFFERSON ST, JOLIET, IL, 60432","-88.07964,41.525013",111541658,R
Rrg2,"739 W Route 22, Lake Zurich, IL,  ",Match,Non_Exact,"739 STATE RTE 22, LAKE ZURICH, IL, 60047","-88.08023,42.19746",613797760,R
D s10,"120B N. Main St., Wheaton, IL,  ",Match,Exact,"120 N MAIN ST, WHEATON, IL, 60187","-88.106636,41.865192",112529287,L
Een1,"121 W. Front St., Wheaton, IL,  ",Match,Exact,"121 W FRONT ST, WHEATON, IL, 60187","-88.10703,41.864864",112529289,R
2W.3,"2 Stratford Dr., Bloomingdale, IL,  ",Match,Exact,"2 STRATFORD DR, BLOOMINGDALE, IL, 60108","-88.11923,41.950455",112710728,R
Gne10,"1828 Abriter Ct., Naperville, IL,  ",Match,Exact,"1828 ABRITER CT, NAPERVILLE, IL, 60563","-88.1293,41.802856",112675914,L
Fsg2,"200 Applebee St. Suite E, Barrington, IL,  ",Match,Exact,"200 APPLEBEE ST, BARRINGTON, IL, 60010","-88.13828,42.155685",119635237,R
Sey7,"110 Slocum Lake Rd, Wauconda, IL,  ",Match,Exact,"110 SLOCUM LAKE RD, WAUCONDA, IL, 60084","-88.142876,42.2608",119632732,R
T k2,"105 Hollywood Blvd., South Barrington, IL,  ",Match,Exact,"105 HOLLYWOOD BLVD, SOUTH BARRINGTON, IL, 60010","-88.145584,42.071163",112368600,L
Sly2,"1000 Brown St., Wauconda, IL,  ",Match,Exact,"1000 BROWN ST, WAUCONDA, IL, 60084","-88.151436,42.27461",119632604,R
Rke8,"28256 Diehl Rd., Warrenville, IL,  ",Match,Non_Exact,"28256 W DIEHL RD, WARRENVILLE, IL, 60555","-88.1635,41.80129",112679547,R
Wdy6,"22221 N. Pepper Rd., Lake Barrington, IL,  ",Match,Exact,"22221 PEPPER RD, LK BARRINGTON, IL, 60010","-88.1848,42.18627",119700822,L
Sey8,"1661 Quincy Ave. #179, Naperville, IL,  ",Match,Exact,"1661 QUINCY AVE, NAPERVILLE, IL, 60540","-88.19403,41.774796",112535408,L
Wke3,"14903 S. Center St., Plainfield, IL,  ",Match,Exact,"14903 S CENTER ST, PLAINFIELD, IL, 60544","-88.19836,41.612087",111533859,L
Ni.9,"12337 S. Rte. 59 #155, Plainfield, IL,  ",Match,Non_Exact,"12337 STATE RTE 59, PLAINFIELD, IL, 60544","-88.20377,41.65859",615339302,L
Ga.10,"221 N Wood St., Chicago, IL,  ",Match,Non_Exact,"221 WOOD ST, WEST CHICAGO, IL, 60185","-88.20681,41.881145",112516102,L
